Text,Sentiment
hey,0.0
hello,0.0
hi,0.0
hello therecld,0.0
good morning,0.7
good evening,0.7
moin,0.0
hey there,0.0
let's go,0.0
hey dude,0.0
goodmorning,0.0
goodevening,0.0
good afternoon,0.7
greet,0.0
howdy,0.0
yo,0.0
whattsup,0.0
ey yo,0.0
sup,0.0
what,0.0
how,0.0
when,0.0
hello mate,0.0
hello friend,0.0
heya,0.0
ssup,0.0
whats up,0.0
greetings,0.0
I greet you,0.0
hi there,0.0
hello there,0.0
lovely day isn't it,0.5
hello again,0.0
just going to say hi,0.0
a good day,0.7
afternoon,0.0
hello hi,0.0
how are you,0.0
hi,0.0
are you doing good,0.7
what is your mental condition like,-0.1
how do you feel,0.0
do you feel anything,0.0
are you crazy,-0.6
stupid,-0.7999999999999999
you are stupid,-0.7999999999999999
makes no sense,0.0
i wasted my time,-0.2
can't agree,0.0
idiot,-0.8
are idiot,-0.8
you are no help,0.0
cu,0.0
good by,0.7
cee you later,0.0
good night,0.7
bye,0.0
goodbye,0.0
have a nice day,0.6
see you around,0.0
bye bye,0.0
see you later,0.0
talk to you soon,0.0
take care,0.0
nice talk,0.6
it was quite good,0.7
okay,0.5
okay then,0.5
have a good day,0.7
end,0.0
stop,0.0
till we meet again,0.0
until nex time,0.0
see ya,0.0
talk to you later,0.0
ttyl,0.0
meet you again soon,0.0
okay see you later,0.25
hope to see you later,0.0
bye for now,0.0
till next time,0.0
I must go,0.0
see you,0.0
see you soon,0.0
bye-bye,0.0
good bye,0.7
bye bye see you,0.0
bye bye see you soon,0.0
bye bye take care,0.0
I said bye,0.0
never mind bye,0.0
now bye,0.0
that's all goodbye,0.0
that's it goodbye,0.0
leave me alone,0.0
go to bed,0.0
goodbye for now,0.0
you can go now,0.0
get lost,0.0
goodbye see you later,0.0
alright bye,0.0
thanks bye bye,0.2
okay bye,0.5
okay thank you bye,0.5
see you tomorrow,0.0
ok bye,0.5
perfect,1.0
great,0.8
amazing,0.6000000000000001
feeling like a king,0.0
wonderful,1.0
I am feeling very good,0.9099999999999999
I am great,0.8
I am amazing,0.6000000000000001
I am going to save the world,0.0
super stoked,0.3333333333333333
extremely good,0.7
so so perfect,1.0
so good,0.7
so perfect,1.0
I am sad,-0.5
super sad,-0.08333333333333334
I'm so sad,-0.5
sad,-0.5
very sad,-0.65
unhappy,-0.6
not good,-0.35
not very good,-0.26923076923076916
extremly sad,-0.5
so saad,0.0
so sad,-0.5
so sadd,0.0
feel really sad today,-0.5
ca it seem shake feel sad,-0.5
feel like stuck rut sad despair,-0.5
it know snap sad,-0.5
struggle find motive any sad,-0.5
i am sad make me happy,0.15000000000000002
my day was horrible,-1.0
I don't feel very well,0.2
I am disappointed,-0.75
unhappy,-0.6
not good,-0.35
not very good,-0.26923076923076916
feel really sad today,-0.5
feel blue,0.0
ca it seem shake feel sad,-0.5
every feel hopeless overwhelm right,0.2857142857142857
ca it seem find joy thing late,0.25
feel like stuck rut sad despair,-0.5
it know snap sad,-0.5
feel like weight chest ca it breath,0.0
struggle find motive any sad,-0.5
feel like go motion life right,0.2857142857142857
i feel so empty,-0.1
i am feeling anxious,-0.25
